id,dep_delayed_15min
0,0.031150162
1,0.041742217
2,0.049899206
3,0.23374118
4,0.24048226
5,0.09668345
6,0.048620857
7,0.21954247
8,0.14682789
9,0.26050913
10,0.26943967
11,0.23756807
12,0.09800836
13,0.18096845
14,0.061399657
15,0.25479564
16,0.075845525
17,0.233028
18,0.43413383
19,0.011371413
20,0.14854982
21,0.04983344
22,0.24056813
23,0.1489046
24,0.221376
25,0.31969288
26,0.013150027
27,0.042290334
28,0.3388105
29,0.16599518
30,0.16407643
31,0.31184086
32,0.022930872
33,0.27036345
34,0.49881265
35,0.26483488
36,0.20053998
37,0.13371578
38,0.08341534
39,0.17269894
40,0.14753821
41,0.16526023
42,0.18488261
43,0.28779355
44,0.14084914
45,0.41861385
46,0.0046283975
47,0.2017697
48,0.53923535
49,0.10152168
50,0.44114333
51,0.054659292
52,0.12992676
53,0.40128568
54,0.28403506
55,0.07300239
56,0.24424756
57,0.40263852
58,0.082463354
59,0.286828
60,0.2183261
61,0.099848606
62,0.15882125
63,0.22150318
64,0.18121658
65,0.1572794
66,0.02634282
67,0.14044808
68,0.13263276
69,0.26042095
70,0.021687744
71,0.1675214
72,0.40258127
73,0.26585245
74,0.6132122
75,0.25124258
76,0.102120936
77,0.24561451
78,0.06656562
79,0.16546127
80,0.16583377
81,0.23187496
82,0.094221994
83,0.13532192
84,0.100752145
85,0.00888437
86,0.10364443
87,0.18460351
88,0.25284743
89,0.21421042
90,0.2100219
91,0.26483428
92,0.15690823
93,0.12836471
94,0.20415601
95,0.1553366
96,0.2847868
97,0.3711491
98,0.17159359
99,0.29379052
100,0.108812265
101,0.1786554
102,0.07430866
103,0.20478897
104,0.0097509
105,0.091135725
106,0.22869715
107,0.0695528
108,0.18333337
109,0.18556501
110,0.21305872
111,0.20211153
112,0.5357236
113,0.023932265
114,0.052843153
115,0.1308214
116,0.10642255
117,0.59220403
118,0.05799968
119,0.13449137
120,0.2481093
121,0.32961807
122,0.15242794
123,0.1630807
124,0.21315145
125,0.044540856
126,0.06714824
127,0.026374063
128,0.06965802
129,0.41047093
130,0.27561653
131,0.1336501
132,0.035471033
133,0.18132187
134,0.040700465
135,0.20326239
136,0.22942197
137,0.0948969
138,0.024497071
139,0.064817645
140,0.26017788
141,0.18745004
142,0.32696578
143,0.32000044
